rank,cell_id,suitability_score_100,suitability_class,population,pop_density,competition_score,amenity_score,road_density_km_per_km2,banking_count_1km
1,740,65.5604944893834,Very Good,19511.509765625,78046.0390625,25,11.95,23.063199148096288,16
2,1385,61.238577708133654,Very Good,18120.634765625,72482.5390625,0,6.3,33.371486054475795,3
3,1256,61.04510563603087,Very Good,18590.78515625,74363.140625,0,2.9,53.48914272809394,1
4,644,56.93421939189645,Good,14978.498046875,59913.9921875,15,9.35,24.3817723462845,11
5,1470,56.10609120926513,Good,15510.9921875,62043.96875,0,3.65,33.619259798524794,3
6,648,55.17509087284726,Good,6120.18701171875,24480.748046875,78,35.65,24.003858522566553,34
7,558,53.81979496347492,Good,5708.708984375,22834.8359375,12,18.15,46.8298327080849,17
8,646,53.75981090190077,Good,6612.1630859375,26448.65234375,61,24.45,38.580222353239385,30
9,1342,53.543764170459376,Good,12723.9013671875,50895.60546875,0,6.3,39.93257918894547,2
10,650,53.33128254687568,Good,5148.935546875,20595.7421875,17,23.5,28.524396150860433,18
11,1252,52.91444381915183,Good,13850.3017578125,55401.20703125,0,2.5,40.993451946776396,1
12,744,52.75794825030591,Good,6995.6962890625,27982.78515625,47,22.35,40.81593388138368,22
13,556,52.747309537061994,Good,3556.575439453125,14226.3017578125,10,22.65,34.23630364527558,20
14,842,52.6556464958729,Good,6325.0791015625,25300.31640625,23,17.95,44.91737298734812,15
15,1163,52.084441562469294,Good,9066.2822265625,36265.12890625,10,9.45,49.79235567331603,8
16,738,52.05435790469046,Good,13022.7314453125,52090.92578125,8,3.95,30.18238736623966,7
17,1550,50.8800213244772,Good,12328.66015625,49314.640625,0,2.0,39.33378477185695,2
18,170,50.469251382851176,Good,6318.447265625,25273.7890625,8,8.3,47.407283773241694,17
19,637,50.449573459535024,Good,12158.5361328125,48634.14453125,8,3.95,46.649063124274655,0
20,838,50.369638582164214,Good,5785.63720703125,23142.548828125,12,17.75,23.914372649743765,16
